"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"12","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","5","67","Found 'DD'-anomaly for variable 'errorResponse' (lines '67'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"13","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","5","71","Found 'DD'-anomaly for variable 'errorResponse' (lines '71'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"14","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","3","87","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","3","100","Local variable 'modelView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","com.ziksana.persistence.alert","src/main/java/com/ziksana/persistence/alert/AlertMapper.java","3","17","Avoid excessively long variable names like memberNotificationId","Naming Rules","LongVariable"
"17","com.ziksana.service.alert","src/main/java/com/ziksana/service/alert/AlertsService.java","3","16","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"18","com.ziksana.service.alert","src/main/java/com/ziksana/service/alert/AlertsService.java","3","20","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"19","com.ziksana.service.alert","src/main/java/com/ziksana/service/alert/AlertsService.java","3","22","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"20","com.ziksana.service.alert","src/main/java/com/ziksana/service/alert/AlertsService.java","3","24","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"21","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"22","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","5","37","Found 'DD'-anomaly for variable 'alertList' (lines '37'-'39').","Controversial Rules","DataflowAnomalyAnalysis"
"23","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","5","39","Found 'DU'-anomaly for variable 'alertList' (lines '39'-'53').","Controversial Rules","DataflowAnomalyAnalysis"
"24","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","45","Avoid catching NullPointerException; consider removing the cause of the NPE.","Strict Exception Rules","AvoidCatchingNPE"
"25","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","46","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"26","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","57","Parameter 'AlertItem' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"27","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","65","Parameter 'AlertItem' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"28","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","72","Parameter 'alertId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","76","Avoid catching NullPointerException; consider removing the cause of the NPE.","Strict Exception Rules","AvoidCatchingNPE"
"30","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","78","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"31","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","92","Local variable 'memberRoleId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"32","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","94","Local variable 'offset' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"33","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","95","Local variable 'limit' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"34","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","96","Local variable 'rowBounds' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"35","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","99","Avoid catching NullPointerException; consider removing the cause of the NPE.","Strict Exception Rules","AvoidCatchingNPE"
"36","com.ziksana.service.alert.impl","src/main/java/com/ziksana/service/alert/impl/AlertServiceImpl.java","3","100","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"37","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","1","39","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"38","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","43","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"39","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","49","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"40","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","49","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"41","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","49","Document empty method","Design Rules","UncommentedEmptyMethod"
"42","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","56","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"43","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","56","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"44","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","56","Document empty method","Design Rules","UncommentedEmptyMethod"
"45","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","64","Local variable 'memberId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"46","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","65","Local variable 'memberPersonaId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"47","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","67","Local variable 'token' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"48","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","87","Local variable 'alerts' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"49","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","99","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"50","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","102","Local variable 'alert' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"51","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","121","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"52","com.ziksana.service.alert.impl","src/test/java/com/ziksana/service/alert/impl/AlertServiceImplTest.java","3","137","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
